Rank,Name,City & State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Composite Range,ACT Composite Range,Website
#1,Harvard University,"Cambridge, MA",Private,"13,844","31,120","$14,327","$49,870","$69,600","$146,800",5%,1460-1590,32-35,www.harvard.edu
#2,Stanford University,"Stanford, CA",Private,"8,402","17,534","$13,261","$50,134","$69,109","$145,200",5%,1390-1540,32-35,www.stanford.edu
#3,Yale University,"New Haven, CT",Private,"6,483","12,974","$18,627","$50,897","$71,290","$138,300",7%,1460-1580,32-35,www.yale.edu
#4,Massachusetts Institute of Technology,"Cambridge, MA",Private,"4,680","11,466","$20,771","$43,248","$67,430","$155,200",7%,1490-1570,33-35,web.mit.edu
#5,Princeton University,"Princeton, NJ",Private,"5,659","8,273","$9,327","$48,088","$66,150","$139,400",6%,1430-1570,31-35,www.princeton.edu
#6,University of Pennsylvania,"Philadelphia, PA",Private,"13,437","25,367","$24,242","$44,801","$71,715","$133,900",9%,1420-1560,32-35,www.upenn.edu
#7,Brown University,"Providence, RI",Private,"7,390","10,095","$30,205","$42,455","$71,050","$127,600",8%,1405-1570,31-35,www.brown.edu
#8,California Institute of Technology,"Pasadena, CA",Private,"1,002","2,238","$24,245","$41,408","$68,901","$151,600",8%,1530-1590,34-35,www.caltech.edu
#9,Duke University,"Durham, NC",Private,"7,184","16,130","$35,737","$47,836","$71,764","$132,100",10%,1380-1540,31-35,www.duke.edu
#10,Dartmouth College,"Hanover, NH",Private,"4,693","6,509","$30,421","$47,171","$71,827","$130,900",10%,1430-1560,30-34,www.dartmouth.edu
#11,Cornell University,"Ithaca, NY",Private,"14,774","23,016","$31,230","$36,164","$70,321","$128,200",13%,1390-1550,31-34,www.cornell.edu
#12,Pomona College,"Claremont, CA",Private,"1,599","1,665","$15,840","$48,930","$69,725","$117,200",8%,1370-1530,30-34,www.pomona.edu
#13,"University of California, Berkeley","Berkeley, CA",Public,"31,133","41,891","$15,859","$18,319","$65,003","$131,800",17%,1260-1480,30-34,www.berkeley.edu
#14,Columbia University,"New York, NY",Private,"8,523","30,454","$24,231","$49,185","$74,199","$126,800",7%,1410-1570,31-34,www.columbia.edu
#15,Georgetown University,"Washington, DC",Private,"8,194","19,005","$30,107","$41,893","$71,580","$122,200",16%,1350-1520,30-34,www.georgetown.edu
#16,University of Chicago,"Chicago, IL",Private,"6,915","16,227","$25,455","$37,883","$75,735","$114,200",9%,1480-1580,32-35,www.uchicago.edu
#17,Northwestern University,"Evanston, IL",Private,"10,163","22,008","$24,047","$44,247","$72,980","$115,400",9%,1420-1560,32-34,www.northwestern.edu
